# Model Metadata
# n_ctx: 131072
# n_predict: 20
# model_size_bytes: 799862912
# n_params: 1235814432
phase,token_index,tensor_name,op_type,time_ns,size_bytes,n_elements,papi_tot_cyc,papi_tot_ins,papi_l3_tcm,papi_l1_dcm
tokenization,0,n/a,n/a,17734,8,2,0,0,0,0
prefill,0,embd,GET_ROWS,50565,16384,4096,93553,88053,992,828
prefill,0,norm-0,RMS_NORM,164089,16384,4096,347456,53239,1192,1625
prefill,0,attn_norm-0,MUL,11405,16384,4096,26869,12223,222,714
prefill,0,Qcur-0,MUL_MAT,123418,16384,4096,485141,875702,6693,19901
prefill,0,Qcur-0 (reshaped),RESHAPE,4955,16384,4096,3700,2699,27,121
prefill,0,Qcur-0,ROPE,36966,16384,4096,116042,22912,451,801
prefill,0,Vcur-0,MUL_MAT,44574,4096,1024,174565,279241,3102,4756
prefill,0,Vcur-0,RESHAPE,3988,4096,1024,2436,2675,3,106
prefill,0,Kcur-0,MUL_MAT,35589,4096,1024,122074,246037,1580,3431
prefill,0,Kcur-0 (reshaped),RESHAPE,3928,4096,1024,1866,2601,0,102
prefill,0,Kcur-0,ROPE,8633,4096,1024,13414,12217,1,268
prefill,0,Kcur-0 (view),VIEW,3831,4096,1024,1889,2736,3,81
prefill,0,cache_k_l0 (view),SET_ROWS,5133,134217728,67108864,7118,4597,92,307
prefill,0,Vcur-0 (view),VIEW,3723,4096,1024,1609,2686,7,51
prefill,0,cache_v_l0 (view),SET_ROWS,4365,134217728,67108864,4293,3546,50,147
prefill,0,Qcur-0 (view),VIEW,3743,16384,4096,1666,2745,0,29
prefill,0,Qcur-0 (view) (permuted),PERMUTE,3702,16384,4096,1557,2720,0,19
prefill,0,cache_k_l0 (view),VIEW,3725,262144,131072,1625,2691,0,23
prefill,0,cache_k_l0 (view) (permuted),PERMUTE,3718,262144,131072,1654,2688,0,13
prefill,0,cache_v_l0 (view),VIEW,3896,262144,131072,2361,2858,5,24
prefill,0,cache_v_l0 (view) (permuted),PERMUTE,3730,262144,131072,1713,2776,0,22
prefill,0, (copy),CPY,10226,1024,512,24980,12872,150,445
prefill,0,__fattn__-0,FLASH_ATTN_EXT,43126,16384,4096,96399,141412,434,1667
prefill,0,kqv_out-0,RESHAPE,4002,16384,4096,2117,2666,0,104
prefill,0,attn_out-0,MUL_MAT,98858,16384,4096,408394,864450,6600,19234
prefill,0,ffn_inp-0,ADD,8098,16384,4096,18345,11604,160,767
prefill,0,norm-0,RMS_NORM,8894,16384,4096,20097,22348,2,389
prefill,0,ffn_norm-0,MUL,6528,16384,4096,11598,9243,67,397
prefill,0,ffn_gate-0,MUL_MAT,393769,65536,16384,1638524,3339686,26548,74974
prefill,0,ffn_up-0,MUL_MAT,385405,65536,16384,1606235,3339406,25991,75173
prefill,0,ffn_swiglu-0,GLU,38998,65536,16384,82983,26051,333,1638
prefill,0,ffn_out-0,MUL_MAT,450268,16384,4096,1893675,3971485,48036,120359
prefill,0,l_out-0,ADD,8838,16384,4096,14144,9323,58,521
